timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729937237677,11749,HTTP Request,200,OK,Thread Group 1-71,text,true,,273493,282,476,476,https://www.trendyol.com/butik/liste/11/kozmetik,340,0,192
1729937237677,340,HTTP Request-0,301,Moved Permanently,Thread Group 1-71,text,true,,1209,141,476,476,http://www.trendyol.com/butik/liste/11/kozmetik,340,0,192
1729937238018,11408,HTTP Request-1,200,OK,Thread Group 1-71,text,true,,272284,141,476,476,https://www.trendyol.com/butik/liste/11/kozmetik,3623,0,435
1729937238192,11249,HTTP Request,429,Too Many Requests,Thread Group 1-326,text,false,,2080,282,475,475,https://www.trendyol.com/butik/liste/11/kozmetik,1157,0,319
1729937238192,1157,HTTP Request-0,301,Moved Permanently,Thread Group 1-326,text,true,,1211,141,475,475,http://www.trendyol.com/butik/liste/11/kozmetik,1157,0,319
1729937239349,10092,HTTP Request-1,429,Too Many Requests,Thread Group 1-326,text,false,,869,141,475,475,https://www.trendyol.com/butik/liste/11/kozmetik,10092,0,9021
1729937237917,11562,HTTP Request,429,Too Many Requests,Thread Group 1-191,text,false,,2080,282,474,474,https://www.trendyol.com/butik/liste/11/kozmetik,390,0,209
1729937237917,390,HTTP Request-0,301,Moved Permanently,Thread Group 1-191,text,true,,1211,141,474,474,http://www.trendyol.com/butik/liste/11/kozmetik,390,0,209
1729937238310,11169,HTTP Request-1,429,Too Many Requests,Thread Group 1-191,text,false,,869,141,474,474,https://www.trendyol.com/butik/liste/11/kozmetik,11169,0,10094
1729937238482,11001,HTTP Request,429,Too Many Requests,Thread Group 1-473,text,false,,2080,282,473,473,https://www.trendyol.com/butik/liste/11/kozmetik,2231,0,753
1729937238482,2231,HTTP Request-0,301,Moved Permanently,Thread Group 1-473,text,true,,1211,141,473,473,http://www.trendyol.com/butik/liste/11/kozmetik,2231,0,753
1729937240713,8770,HTTP Request-1,429,Too Many Requests,Thread Group 1-473,text,false,,869,141,473,473,https://www.trendyol.com/butik/liste/11/kozmetik,8770,0,7705
1729937238282,11206,HTTP Request,429,Too Many Requests,Thread Group 1-373,text,false,,2078,282,472,472,https://www.trendyol.com/butik/liste/11/kozmetik,1659,0,397
1729937238282,1659,HTTP Request-0,301,Moved Permanently,Thread Group 1-373,text,true,,1209,141,472,472,http://www.trendyol.com/butik/liste/11/kozmetik,1659,0,397
1729937239942,9546,HTTP Request-1,429,Too Many Requests,Thread Group 1-373,text,false,,869,141,472,472,https://www.trendyol.com/butik/liste/11/kozmetik,9546,0,8478
1729937238122,11403,HTTP Request,429,Too Many Requests,Thread Group 1-293,text,false,,2078,282,471,471,https://www.trendyol.com/butik/liste/11/kozmetik,477,0,128
1729937238122,477,HTTP Request-0,301,Moved Permanently,Thread Group 1-293,text,true,,1209,141,471,471,http://www.trendyol.com/butik/liste/11/kozmetik,477,0,128
1729937238600,10925,HTTP Request-1,429,Too Many Requests,Thread Group 1-293,text,false,,869,141,471,471,https://www.trendyol.com/butik/liste/11/kozmetik,10925,0,9874
1729937238345,11265,HTTP Request,200,OK,Thread Group 1-405,text,true,,273470,282,470,470,https://www.trendyol.com/butik/liste/11/kozmetik,2094,0,538
1729937238345,2094,HTTP Request-0,301,Moved Permanently,Thread Group 1-405,text,true,,1209,141,470,470,http://www.trendyol.com/butik/liste/11/kozmetik,2094,0,538
1729937240440,9170,HTTP Request-1,200,OK,Thread Group 1-405,text,true,,272261,141,470,470,https://www.trendyol.com/butik/liste/11/kozmetik,3748,0,2552
1729937237561,12130,HTTP Request,200,OK,Thread Group 1-13,text,true,,273493,282,469,469,https://www.trendyol.com/butik/liste/11/kozmetik,398,0,272
1729937237561,398,HTTP Request-0,301,Moved Permanently,Thread Group 1-13,text,true,,1211,141,469,469,http://www.trendyol.com/butik/liste/11/kozmetik,398,0,272
1729937237960,11731,HTTP Request-1,200,OK,Thread Group 1-13,text,true,,272282,141,469,469,https://www.trendyol.com/butik/liste/11/kozmetik,949,0,326
1729937238057,11742,HTTP Request,429,Too Many Requests,Thread Group 1-261,text,false,,2078,282,468,468,https://www.trendyol.com/butik/liste/11/kozmetik,391,0,105
1729937238057,391,HTTP Request-0,301,Moved Permanently,Thread Group 1-261,text,true,,1209,141,468,468,http://www.trendyol.com/butik/liste/11/kozmetik,391,0,105
1729937238449,11350,HTTP Request-1,429,Too Many Requests,Thread Group 1-261,text,false,,869,141,468,468,https://www.trendyol.com/butik/liste/11/kozmetik,11350,0,10152
1729937238315,11499,HTTP Request,429,Too Many Requests,Thread Group 1-388,text,false,,2078,282,467,467,https://www.trendyol.com/butik/liste/11/kozmetik,1955,0,437
1729937238315,1955,HTTP Request-0,301,Moved Permanently,Thread Group 1-388,text,true,,1209,141,467,467,http://www.trendyol.com/butik/liste/11/kozmetik,1955,0,437
1729937240270,9544,HTTP Request-1,429,Too Many Requests,Thread Group 1-388,text,false,,869,141,467,467,https://www.trendyol.com/butik/liste/11/kozmetik,9544,0,8308
1729937238315,11500,HTTP Request,429,Too Many Requests,Thread Group 1-389,text,false,,2080,282,467,467,https://www.trendyol.com/butik/liste/11/kozmetik,1953,0,437
1729937238315,1953,HTTP Request-0,301,Moved Permanently,Thread Group 1-389,text,true,,1211,141,467,467,http://www.trendyol.com/butik/liste/11/kozmetik,1953,0,437
1729937240268,9547,HTTP Request-1,429,Too Many Requests,Thread Group 1-389,text,false,,869,141,467,467,https://www.trendyol.com/butik/liste/11/kozmetik,9547,0,8350
1729937238312,11503,HTTP Request,429,Too Many Requests,Thread Group 1-386,text,false,,2080,282,466,466,https://www.trendyol.com/butik/liste/11/kozmetik,1966,0,413
1729937238312,1967,HTTP Request-0,301,Moved Permanently,Thread Group 1-386,text,true,,1211,141,466,466,http://www.trendyol.com/butik/liste/11/kozmetik,1966,0,413
1729937240279,9536,HTTP Request-1,429,Too Many Requests,Thread Group 1-386,text,false,,869,141,466,466,https://www.trendyol.com/butik/liste/11/kozmetik,9536,0,8344
1729937237945,11887,HTTP Request,429,Too Many Requests,Thread Group 1-205,text,false,,2080,282,464,464,https://www.trendyol.com/butik/liste/11/kozmetik,348,0,180
1729937237945,348,HTTP Request-0,301,Moved Permanently,Thread Group 1-205,text,true,,1211,141,464,464,http://www.trendyol.com/butik/liste/11/kozmetik,348,0,180
1729937238293,11539,HTTP Request-1,429,Too Many Requests,Thread Group 1-205,text,false,,869,141,464,464,https://www.trendyol.com/butik/liste/11/kozmetik,11539,0,10332
1729937238447,11412,HTTP Request,429,Too Many Requests,Thread Group 1-455,text,false,,2080,282,463,463,https://www.trendyol.com/butik/liste/11/kozmetik,2154,0,741
1729937238447,2154,HTTP Request-0,301,Moved Permanently,Thread Group 1-455,text,true,,1211,141,463,463,http://www.trendyol.com/butik/liste/11/kozmetik,2154,0,741
1729937240602,9257,HTTP Request-1,429,Too Many Requests,Thread Group 1-455,text,false,,869,141,463,463,https://www.trendyol.com/butik/liste/11/kozmetik,9257,0,8058
1729937238199,11660,HTTP Request,429,Too Many Requests,Thread Group 1-330,text,false,,2078,282,463,463,https://www.trendyol.com/butik/liste/11/kozmetik,1521,0,360
1729937238199,1521,HTTP Request-0,301,Moved Permanently,Thread Group 1-330,text,true,,1209,141,463,463,http://www.trendyol.com/butik/liste/11/kozmetik,1521,0,360
1729937239720,10139,HTTP Request-1,429,Too Many Requests,Thread Group 1-330,text,false,,869,141,463,463,https://www.trendyol.com/butik/liste/11/kozmetik,10139,0,8932
1729937238347,11587,HTTP Request,200,OK,Thread Group 1-406,text,true,,273469,282,461,461,https://www.trendyol.com/butik/liste/11/kozmetik,2097,0,560
1729937238347,2097,HTTP Request-0,301,Moved Permanently,Thread Group 1-406,text,true,,1211,141,461,461,http://www.trendyol.com/butik/liste/11/kozmetik,2097,0,560
1729937240444,9490,HTTP Request-1,200,OK,Thread Group 1-406,text,true,,272258,141,461,461,https://www.trendyol.com/butik/liste/11/kozmetik,4944,0,2561
1729937238362,11609,HTTP Request,200,OK,Thread Group 1-412,text,true,,273469,282,460,460,https://www.trendyol.com/butik/liste/11/kozmetik,2086,0,596
1729937238362,2086,HTTP Request-0,301,Moved Permanently,Thread Group 1-412,text,true,,1209,141,460,460,http://www.trendyol.com/butik/liste/11/kozmetik,2086,0,596
1729937240449,9522,HTTP Request-1,200,OK,Thread Group 1-412,text,true,,272260,141,460,460,https://www.trendyol.com/butik/liste/11/kozmetik,3743,0,2585
1729937238280,11717,HTTP Request,429,Too Many Requests,Thread Group 1-372,text,false,,2078,282,459,459,https://www.trendyol.com/butik/liste/11/kozmetik,1630,0,399
1729937238280,1637,HTTP Request-0,301,Moved Permanently,Thread Group 1-372,text,true,,1209,141,459,459,http://www.trendyol.com/butik/liste/11/kozmetik,1630,0,399
